Machine_ID,Machine_Model,Rated_Capacity_kW,Timestamp,Power_kW,Energy_kWh,Production_Output,Load_%,Power_Factor,Temperature,Operating_Status,Shift,Operator_ID,Electricity_Tariff_INR_per_kWh,Maintenance_Cost_per_hour,CO2_Emission_Factor_kg_per_kWh,Ambient_Temperature,Contract_Demand_kW,True_Anomaly_Label,Downtime_Minutes,Idle_Flag
MCH-004,Mitsubishi M800,250,2024-01-01 06:00:00,0.0,0.0,0,0.0,0.0,27.3,Off,Morning,OPR-005,7.78,73.4,0.782,28.0,550,1,164,0
MCH-005,Bosch Rexroth,300,2024-01-01 07:00:00,249.97,249.97,44,83.32,0.976,74.5,Running,Morning,OPR-006,7.0,198.83,0.805,32.6,700,0,0,0
MCH-002,ABB ACS880,200,2024-01-01 08:00:00,144.56,144.56,67,72.28,0.93,65.4,Running,Morning,OPR-003,8.91,197.48,0.799,30.9,600,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-01 09:00:00,185.46,185.46,36,61.82,0.973,65.6,Running,Morning,OPR-002,8.93,52.39,0.789,29.8,700,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-01 10:00:00,149.7,149.7,74,59.88,0.854,64.4,Running,Morning,OPR-004,7.91,163.3,0.797,26.2,550,0,0,0
MCH-002,ABB ACS880,200,2024-01-01 11:00:00,112.51,112.51,99,56.26,0.908,59.7,Running,Morning,OPR-004,9.99,188.28,0.784,26.2,600,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-01 12:00:00,170.03,170.03,73,68.01,0.885,67.6,Running,Morning,OPR-010,11.83,141.06,0.791,31.2,550,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-01 13:00:00,17.24,17.24,0,5.75,0.919,32.8,Idle,Morning,OPR-008,7.03,172.32,0.808,38.3,700,0,19,1
MCH-003,Fanuc 30i,100,2024-01-01 14:00:00,11.06,11.06,0,11.06,0.915,33.9,Idle,Afternoon,OPR-007,11.25,117.42,0.784,33.8,500,1,20,1
MCH-005,Bosch Rexroth,300,2024-01-01 15:00:00,34.13,34.13,0,11.38,0.912,33.3,Idle,Afternoon,OPR-005,11.86,177.34,0.809,35.6,700,1,50,1
MCH-003,Fanuc 30i,100,2024-01-01 16:00:00,72.1,72.1,38,72.1,0.864,64.6,Running,Afternoon,OPR-007,9.38,134.49,0.808,29.0,500,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-01 17:00:00,214.25,214.25,116,71.42,0.88,64.6,Running,Afternoon,OPR-003,7.81,189.45,0.812,32.8,700,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-01 18:00:00,109.89,109.89,60,73.26,0.904,70.3,Running,Afternoon,OPR-010,7.61,103.44,0.816,31.7,800,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-01 19:00:00,108.13,108.13,124,72.09,0.962,64.5,Running,Afternoon,OPR-008,9.67,122.72,0.808,26.7,800,0,0,0
MCH-002,ABB ACS880,200,2024-01-01 20:00:00,185.43,185.43,91,92.72,0.917,77.9,Running,Afternoon,OPR-001,7.32,88.09,0.79,26.5,600,0,0,0
MCH-002,ABB ACS880,200,2024-01-01 21:00:00,12.96,12.96,0,6.48,0.92,31.0,Idle,Afternoon,OPR-002,9.51,57.72,0.791,26.5,600,0,43,1
MCH-001,Siemens S7-1500,150,2024-01-01 22:00:00,123.34,123.34,106,82.23,0.908,72.3,Running,Night,OPR-007,10.36,164.24,0.79,27.4,800,0,0,0
MCH-005,Bosch Rexroth,300,2024-01-01 23:00:00,241.02,241.02,104,80.34,0.862,73.2,Running,Night,OPR-006,10.48,178.75,0.793,29.2,700,0,0,0
MCH-004,Mitsubishi M800,250,2024-01-02 00:00:00,188.71,188.71,63,75.48,0.934,67.0,Running,Night,OPR-001,8.99,127.66,0.814,28.5,550,0,0,0
MCH-003,Fanuc 30i,100,2024-01-02 01:00:00,59.54,59.54,112,59.54,0.964,60.3,Running,Night,OPR-010,11.91,127.5,0.79,27.3,500,0,0,0
MCH-001,Siemens S7-1500,150,2024-01-02 02:00:00,136.33,136.33,168,90.89,0.932,74.9,Running,Night,OPR-003,10.5,177.0,0.814,29.9,800,0,0,0
